ref_date,curve,days,rate
2026-04-02,PRE,3515,0.1387
2026-04-02,PRE,3562,0.1386
2026-04-02,PRE,3602,0.1387
2026-04-02,PRE,3606,0.1387
2026-04-02,PRE,3696,0.1387
2026-04-02,PRE,3788,0.1388
2026-04-02,PRE,3882,0.1388
2026-04-02,PRE,3928,0.1389
2026-04-02,PRE,3960,0.1388
2026-04-02,PRE,3975,0.1388
2026-04-02,PRE,4061,0.1388
2026-04-02,PRE,4155,0.1387
2026-04-02,PRE,4246,0.1387
2026-04-02,PRE,4295,0.1387
2026-04-02,PRE,4320,0.1387
2026-04-02,PRE,4337,0.1386
2026-04-02,PRE,4428,0.1386
2026-04-02,PRE,4519,0.1386
2026-04-02,PRE,4611,0.13849999999999998
2026-04-02,PRE,4659,0.13849999999999998
2026-04-02,PRE,4680,0.13849999999999998
2026-04-02,PRE,4702,0.13849999999999998
2026-04-02,PRE,4792,0.1384
2026-04-02,PRE,4883,0.1384
2026-04-02,PRE,4976,0.1383
2026-04-02,PRE,5023,0.1383
2026-04-02,PRE,5040,0.1383
2026-04-02,PRE,5067,0.1383
2026-04-02,PRE,5157,0.1383
2026-04-02,PRE,5249,0.1384
2026-04-02,PRE,5342,0.1384
2026-04-02,PRE,5389,0.1384
2026-04-02,PRE,5401,0.1384
2026-04-02,PRE,5433,0.1384
2026-04-02,PRE,5522,0.1384
2026-04-02,PRE,5580,0.1384
2026-04-02,PRE,5614,0.1384
2026-04-02,PRE,5709,0.1384
2026-04-02,PRE,5802,0.13849999999999998
2026-04-02,PRE,5887,0.13849999999999998
2026-04-02,PRE,5979,0.13849999999999998
2026-04-02,PRE,6073,0.13849999999999998
2026-04-02,PRE,6164,0.13849999999999998
2026-04-02,PRE,6252,0.13849999999999998
2026-04-02,PRE,6346,0.13849999999999998
2026-04-02,PRE,6437,0.13849999999999998
2026-04-02,PRE,6528,0.1386
2026-04-02,PRE,6619,0.1386
2026-04-02,PRE,6710,0.1386
2026-04-02,PRE,6803,0.1386
2026-04-02,PRE,6894,0.1386
2026-04-02,PRE,6983,0.1386
2026-04-02,PRE,7075,0.1386
2026-04-02,PRE,7200,0.1386
2026-04-02,PRE,7259,0.1386
2026-04-02,PRE,7440,0.1387
2026-04-02,PRE,7624,0.1387
2026-04-02,PRE,7805,0.1387
2026-04-02,PRE,7993,0.1387
2026-04-02,PRE,8173,0.1387
2026-04-02,PRE,8355,0.1387
2026-04-02,PRE,8537,0.1387
2026-04-02,PRE,8720,0.1388
2026-04-02,PRE,8901,0.1388
2026-04-02,PRE,9000,0.1388
2026-04-02,PRE,10637,0.1389
2026-04-02,PRE,10800,0.1389
2026-04-02,PRE,12555,0.1389
2026-04-02,DOC,4,-0.006999999999999999
2026-04-02,DOC,7,0.035
2026-04-02,DOC,11,0.0388
2026-04-02,DOC,12,0.0432
2026-04-02,DOC,13,0.046900000000000004
2026-04-02,DOC,14,0.05
2026-04-02,DOC,15,0.0528
2026-04-02,DOC,21,0.0507
2026-04-02,DOC,22,0.0526
2026-04-02,DOC,26,0.051500000000000004
2026-04-02,DOC,27,0.053
2026-04-02,DOC,28,0.054299999999999994
2026-04-02,DOC,32,0.0504
2026-04-02,DOC,41,0.051100000000000007
2026-04-02,DOC,43,0.0519
2026-04-02,DOC,46,0.0501
2026-04-02,DOC,47,0.050499999999999996
2026-04-02,DOC,48,0.0509
2026-04-02,DOC,49,0.0512
2026-04-02,DOC,55,0.0507
2026-04-02,DOC,57,0.0513
2026-04-02,DOC,60,0.0499
2026-04-02,DOC,74,0.049
2026-04-02,DOC,75,0.0492
2026-04-02,DOC,76,0.0495
2026-04-02,DOC,77,0.049800000000000004
2026-04-02,DOC,78,0.05
2026-04-02,DOC,85,0.05
2026-04-02,DOC,88,0.049100000000000005
2026-04-02,DOC,89,0.049400000000000006
2026-04-02,DOC,90,0.0496
2026-04-02,DOC,103,0.0496
2026-04-02,DOC,104,0.049800000000000004
2026-04-02,DOC,112,0.0501
2026-04-02,DOC,119,0.050199999999999995
2026-04-02,DOC,120,0.050300000000000004
2026-04-02,DOC,123,0.049699999999999994
2026-04-02,DOC,132,0.0499
2026-04-02,DOC,137,0.0496
2026-04-02,DOC,138,0.049800000000000004
2026-04-02,DOC,139,0.0499
2026-04-02,DOC,141,0.050199999999999995
2026-04-02,DOC,147,0.05
2026-04-02,DOC,148,0.0501
2026-04-02,DOC,151,0.0496
2026-04-02,DOC,152,0.049699999999999994
2026-04-02,DOC,166,0.049400000000000006
